district,no_of_general_camps_conducted_during_the_quarter,no_of_participants,no_of_rural_branches_in_district,no_of_target_specific_camps_conducted_during_the_quarter,total_no_of_camps,total_no_of_participants
Alipurduar,20.0,449.0,73.0,22.0,42.0,1031.0
Bankura,11.0,798.0,231.0,8.0,19.0,1791.0
Birbhum,10.0,3946.0,210.0,118.0,128.0,4520.0
Cooch Behar,74.0,779.0,142.0,70.0,144.0,1761.0
Dakshin Dinajpur,10.0,422.0,79.0,8.0,18.0,933.0
Darjeeling,28.0,669.0,76.0,24.0,52.0,1338.0
Hooghly,40.0,2627.0,16.0,40.0,80.0,5254.0
Howrah,45.0,1392.0,177.0,107.0,152.0,2080.0
Jalpaiguri,8.0,450.0,77.0,9.0,17.0,872.0
Jhargram,2.0,75.0,20.0,2.0,4.0,150.0
Kalimpong,6.0,53.0,1.0,2.0,8.0,557.0
Malda,78.0,1127.0,184.0,40.0,118.0,3077.0
Murshidabad,6.0,1134.0,262.0,15.0,21.0,1656.0
Nadia,64.0,621.0,201.0,41.0,105.0,1623.0
Paschim Bardhaman,141.0,1892.0,374.0,74.0,215.0,5417.0
Paschim Medinipur,85.0,1127.0,326.0,52.0,137.0,3148.0
Purba Bardhaman,104.0,3297.0,267.0,104.0,208.0,4923.0
Purba Medinipur,8.0,1207.0,299.0,8.0,16.0,2414.0
Purulia,12.0,609.0,129.0,11.0,23.0,1330.0
Uttar Dinajpur,45.0,1611.0,94.0,36.0,81.0,3186.0
