district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total_settled_with_wage,total_settled_without_wage,total_trained,wage_employed
Bankura,24.42,24.0,65.0,21.0,14.31,86.0,86.0,601.0,0.0
Birbhum,57.59,13.0,81.0,110.0,52.91,191.0,191.0,361.0,0.0
Cooch Behar,0.0,10.0,22.0,0.0,8.49,22.0,22.0,259.0,0.0
Darjeeling,93.48,7.0,3.0,43.0,26.9,46.0,46.0,171.0,0.0
Hooghly,96.88,18.0,6.0,186.0,43.74,192.0,192.0,439.0,0.0
Howrah,33.67,34.0,329.0,167.0,54.04,508.0,496.0,940.0,12.0
Jalpaiguri,75.0,14.0,10.0,30.0,10.9,40.0,40.0,367.0,0.0
Malda,5.1,16.0,149.0,8.0,56.4,273.0,157.0,484.0,116.0
Murshidabad,44.09,19.0,156.0,123.0,51.29,279.0,279.0,544.0,0.0
Nadia,98.39,19.0,2.0,122.0,23.71,124.0,124.0,523.0,0.0
North 24 Parganas,100.0,19.0,0.0,54.0,11.37,54.0,54.0,475.0,0.0
Purba Bardhaman,43.62,16.0,53.0,41.0,20.84,94.0,94.0,451.0,0.0
Purba Medinipur,70.94,19.0,77.0,188.0,48.73,268.0,265.0,550.0,3.0
Purulia,40.8,12.0,74.0,51.0,42.81,125.0,125.0,292.0,0.0
South 24 Parganas,95.08,23.0,3.0,58.0,9.97,61.0,61.0,612.0,0.0
Uttar Dinajpur,47.92,17.0,25.0,23.0,12.18,48.0,48.0,394.0,0.0
