district,amount,sanction_no
Alipurduar,23122.67,10525.0
Bankura,59954.61,27286.0
Birbhum,78188.94,32961.0
Cooch Behar,73997.46,30912.0
Dakshin Dinajpur,24313.32,11604.0
Darjeeling,4306.67,1741.0
Hooghly,60621.0,29504.0
Howrah,50897.29,20867.0
Jalpaiguri,52174.18,22431.0
Jhargram,14885.0,6917.0
Kalimpong,2172.92,901.0
Malda,84475.53,36967.0
Murshidabad,88361.52,49207.0
Nadia,42433.25,36018.0
North 24 Parganas,69583.52,30711.0
Paschim Bardhaman,8975.33,3882.0
Paschim Medinipur,73883.72,30111.0
Purba Bardhaman,78623.11,32343.0
Purba Medinipur,99760.76,39867.0
South 24 Parganas,73911.03,35346.0
Uttar Dinajpur,28393.95,13116.0
