district,amount,average,disbursed_no,no,of_achievement_no,sanctioned_no,target_no
Alipurduar,395.77,2.24,12048.0,14100.0,85.0,11364.0,14100.0
Bankura,762.77,2.36,30674.0,29088.0,107.0,27543.0,28786.0
Birbhum,1314.49,2.58,42443.0,50960.0,111.0,39836.0,38359.0
Cooch Behar,642.98,2.4,28722.0,23462.0,129.0,19790.0,22293.0
Dakshin Dinajpur,439.65,2.4,14133.0,15175.0,94.0,12634.0,15012.0
Darjeeling,79.14,2.47,9119.0,2970.0,438.0,1956.0,2082.0
Hooghly,609.59,2.56,24550.0,22002.0,111.0,21271.0,22150.0
Howrah,594.33,2.78,23641.0,22395.0,129.0,19726.0,18313.0
Jalpaiguri,632.06,2.51,20537.0,23493.0,86.0,23072.0,23940.0
Jhargram,227.2,2.23,8832.0,8661.0,102.0,6361.0,8661.0
Kalimpong,38.02,2.45,1616.0,1378.0,144.0,1126.0,1126.0
Malda,846.72,2.3,31830.0,37084.0,86.0,25869.0,37084.0
Murshidabad,914.45,2.06,42817.0,38008.0,113.0,30954.0,38008.0
Nadia,631.08,2.25,24582.0,24174.0,115.0,14925.0,21447.0
North 24 Parganas,1096.44,2.29,35782.0,38005.0,96.0,34486.0,37304.0
Paschim Bardhaman,144.72,2.1,5110.0,7339.0,87.0,4616.0,5852.0
Paschim Medinipur,841.99,2.51,32369.0,32871.0,97.0,32642.0,33238.0
Purba Bardhaman,889.4,2.72,29737.0,33038.0,109.0,30356.0,27270.0
Purba Medinipur,1255.18,2.8,43104.0,42328.0,108.0,40642.0,39976.0
South 24 Parganas,929.44,2.17,38677.0,42602.0,91.0,39334.0,42602.0
Uttar Dinajpur,351.86,2.31,19175.0,14110.0,143.0,10149.0,13375.0
