district,loanee,non_loanee,total
Alipurduar,6921.0,17290.0,24211.0
Bankura,73571.0,208054.0,281625.0
Birbhum,60268.0,193834.0,254102.0
Dakshin Dinajpur,16630.0,78315.0,94945.0
Darjeeling,967.0,936.0,1903.0
Hooghly,185394.0,60071.0,245465.0
Howrah,13675.0,67847.0,81522.0
Jalpaiguri,19374.0,59459.0,78833.0
Jhargram,13405.0,15793.0,29198.0
Kalimpong,0.0,778.0,778.0
Kolkata,0.0,0.0,0.0
Malda,21790.0,290185.0,311975.0
Murshidabad,13034.0,395073.0,408107.0
Nadia,37185.0,202217.0,239402.0
Paschim Bardhaman,1140.0,7623.0,8763.0
Paschim Medinipur,199432.0,151846.0,351278.0
Purba Bardhaman,213772.0,188263.0,402035.0
Purba Medinipur,174970.0,430189.0,605159.0
Purulia,5409.0,36144.0,41553.0
South 24 Parganas,29872.0,227895.0,257767.0
Uttar Dinajpur,11856.0,192161.0,204017.0
