district,disb_amt,kishore_no,sanc_amt,shishu_no,tarun_no,total_no
Alipurduar,295.5,13848.0,306.77,53372.0,278.0,67498.0
Bankura,194.37,7419.0,234.04,37731.0,787.0,45937.0
Birbhum,603.09,24917.0,641.57,69604.0,887.0,95408.0
Cooch Behar,346.87,12565.0,355.91,60752.0,487.0,73804.0
Dakshin Dinajpur,216.27,7965.0,227.1,47283.0,293.0,55541.0
Howrah,798.03,32258.0,849.44,142360.0,1282.0,175900.0
Jalpaiguri,377.96,14092.0,404.92,83938.0,624.0,98654.0
Jhargram,38.35,1774.0,57.95,6815.0,171.0,8760.0
Kalimpong,15.96,766.0,16.01,1138.0,29.0,1933.0
Kolkata,991.08,35952.0,1104.93,124362.0,3971.0,164285.0
Malda,512.24,21047.0,537.46,109735.0,712.0,131494.0
Murshidabad,1110.68,48601.0,1169.12,242929.0,1016.0,292546.0
Nadia,742.01,29734.0,827.02,168622.0,1293.0,199649.0
North 24 Parganas,1394.43,68084.0,1541.88,240846.0,2872.0,311802.0
Paschim Medinipur,412.62,16584.0,533.88,80198.0,1518.0,98300.0
Purba Bardhaman,266.94,5838.0,302.29,74536.0,1003.0,81377.0
Purba Medinipur,509.82,21179.0,594.92,99688.0,1087.0,121954.0
South 24 Parganas,944.22,45230.0,1030.93,217001.0,1344.0,263575.0
Uttar Dinajpur,257.12,8696.0,268.37,62432.0,445.0,71573.0
