district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total,total_settlement,total_trained,wage_employed
Bankura,,2.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0
Birbhum,,4.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0
Cooch Behar,100.0,2.0,0.0,9.0,14.52,9.0,9.0,62.0,0.0
Darjeeling,,3.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0
Hooghly,,2.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
Howrah,,1.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
Jalpaiguri,,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
Malda,0.0,4.0,1.0,0.0,1.2,1.0,1.0,83.0,0.0
Nadia,,4.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0
North 24 Parganas,,2.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0
Purba Bardhaman,,4.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0
Purba Medinipur,,1.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
Purulia,,2.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
South 24 Parganas,,4.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0
Uttar Dinajpur,38.1,5.0,13.0,8.0,16.94,21.0,21.0,124.0,0.0
