district,amount,kcc_disbursement_during_01_04_2022_to_30_06_2022_fresh_renewal_no,kcc_outstanding_as_on_30_06_2022_no,of_achievement_no,target_no
Alipurduar,227.85,4062.0,29625.0,10.55,38500.0
Bankura,814.01,51640.0,163186.0,26.08,198000.0
Birbhum,825.6,30564.0,179017.0,12.74,240000.0
Cooch Behar,1346.68,11256.0,191539.0,5.92,190000.0
Dakshin Dinajpur,580.57,19033.0,106027.0,16.55,115000.0
Darjeeling,132.87,4438.0,25664.0,23.99,18500.0
Hooghly,1577.26,36190.0,340217.0,9.16,395000.0
Howrah,364.64,6852.0,79527.0,7.21,95000.0
Jalpaiguri,640.52,11742.0,86298.0,29.36,40000.0
Jhargram,357.34,1015.0,74772.0,1.85,55000.0
Kalimpong,97.7,217.0,10922.0,2.17,10000.0
Kolkata,9.53,17.0,463.0,,0.0
Malda,870.61,27618.0,225861.0,25.11,110000.0
Murshidabad,713.44,48537.0,143102.0,51.09,95000.0
Nadia,1118.4,21451.0,201722.0,19.5,110000.0
Paschim Bardhaman,85.59,11097.0,12964.0,44.39,25000.0
Paschim Medinipur,1496.6,170316.0,296737.0,69.52,245000.0
Purba Bardhaman,2549.24,58177.0,530143.0,20.78,280000.0
Purba Medinipur,2111.55,326844.0,594799.0,43.58,750000.0
Purulia,292.43,15449.0,113542.0,44.14,35000.0
Uttar Dinajpur,1086.32,12894.0,309877.0,23.44,55000.0
