district,1_year_and_above,6_months_to_1_year,above_60_day_below_6_months,pending_below_60_days,total_pending
Alipurduar,0.0,0.0,1.0,0.0,1.0
Bankura,33.0,10.0,2.0,1.0,46.0
Birbhum,30.0,22.0,13.0,7.0,72.0
Cooch Behar,13.0,16.0,0.0,1.0,30.0
Dakshin Dinajpur,47.0,5.0,4.0,0.0,56.0
Darjeeling,15.0,11.0,14.0,1.0,41.0
Hooghly,125.0,47.0,79.0,7.0,255.0
Howrah,129.0,52.0,37.0,16.0,232.0
Jalpaiguri,15.0,14.0,3.0,2.0,34.0
Jhargram,1.0,2.0,0.0,0.0,3.0
Kalimpong,0.0,0.0,0.0,0.0,0.0
Kolkata,20.0,378.0,3.0,2.0,403.0
Malda,45.0,19.0,0.0,0.0,64.0
Murshidabad,77.0,14.0,1.0,9.0,100.0
Nadia,46.0,4.0,9.0,1.0,60.0
Paschim Bardhaman,56.0,41.0,8.0,11.0,124.0
Paschim Medinipur,55.0,20.0,4.0,4.0,69.0
Purba Bardhaman,96.0,35.0,15.0,11.0,153.0
Purba Medinipur,30.0,29.0,1.0,5.0,65.0
Purulia,8.0,11.0,3.0,2.0,24.0
Uttar Dinajpur,33.0,5.0,0.0,0.0,38.0
