district,amount,no_of_active_shgs,no_of_cases_pending,no_of_sponsored_application_in_fy_22_23,no_of_sponsored_application_in_fy_fy_22_23,sep_g_disbursed_no,sep_g_sanctioned_no,sep_i_disbursed_no,sep_i_sanctioned_no,shg_loan_disbursed_no,shg_loan_sanctioned_no,target_amount_of_sep_g_loan_to_be_disbursed_fy_22_24,target_amount_of_sep_i_loan_to_be_disbursed_fy_22_24,target_amount_of_shg_loan_to_be_disbursed_fy_22_24,target_fy_22_23
Alipurduar,0.76,552.0,25.0,3.0,68.0,1.0,1.0,2.0,2.0,44.0,54.0,0.09,0.5,2.25,150.0
Bankura,1.24,2425.0,0.0,12.0,95.0,3.0,2.0,12.0,13.0,72.0,171.0,0.23,0.98,4.32,289.0
Birbhum,6.18,3612.0,310.0,271.0,746.0,20.0,20.0,174.0,175.0,360.0,316.0,0.39,3.53,14.84,978.0
Cooch Behar,2.8,1641.0,5.0,52.0,172.0,3.0,3.0,20.0,19.0,163.0,157.0,0.25,2.01,4.35,446.0
Dakshin Dinajpur,2.03,1832.0,5.0,33.0,92.0,0.0,0.0,2.0,2.0,118.0,181.0,0.18,1.35,4.86,263.0
Darjeeling,2.78,2306.0,79.0,27.0,244.0,0.0,0.0,26.0,26.0,162.0,164.0,0.44,2.1,7.48,498.0
Hooghly,7.82,6041.0,341.0,93.0,798.0,5.0,5.0,66.0,67.0,455.0,381.0,0.57,4.62,18.89,1272.0
Howrah,1.17,1449.0,46.0,3.0,138.0,1.0,1.0,9.0,9.0,68.0,67.0,0.24,1.32,8.64,586.0
Jalpaiguri,0.69,1575.0,80.0,22.0,170.0,3.0,3.0,12.0,12.0,40.0,41.0,0.17,1.55,3.99,266.0
Jhargram,0.29,486.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,17.0,18.0,0.06,0.3,1.2,80.0
Kalimpong,0.15,178.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,9.0,10.0,0.06,0.32,1.04,70.0
Kolkata,1.19,968.0,202.0,18.0,269.0,0.0,0.0,3.0,3.0,69.0,80.0,0.1,2.0,3.0,250.0
Malda,0.65,818.0,82.0,3.0,119.0,1.0,1.0,3.0,3.0,38.0,39.0,0.11,0.94,2.9,193.0
Murshidabad,6.25,5547.0,120.0,76.0,630.0,5.0,5.0,18.0,19.0,364.0,358.0,0.6,4.18,16.86,1185.0
Nadia,6.75,5842.0,133.0,83.0,577.0,4.0,4.0,61.0,66.0,393.0,413.0,0.45,3.89,16.44,1094.0
North 24 Parganas,18.45,15663.0,434.0,332.0,1525.0,16.0,16.0,237.0,243.0,1074.0,1078.0,1.57,13.66,45.97,3169.0
Paschim Bardhaman,4.66,2720.0,186.0,76.0,434.0,0.0,0.0,11.0,11.0,271.0,270.0,0.18,1.42,12.53,835.0
Paschim Medinipur,3.92,3988.0,142.0,92.0,362.0,3.0,3.0,17.0,17.0,228.0,239.0,0.33,2.66,9.76,650.0
Purba Bardhaman,5.45,3487.0,15.0,56.0,301.0,3.0,3.0,40.0,40.0,317.0,282.0,0.32,2.43,7.11,543.0
Purba Medinipur,3.4,3468.0,191.0,43.0,381.0,2.0,2.0,35.0,34.0,198.0,251.0,0.27,2.07,6.18,420.0
Purulia,0.79,1154.0,9.0,20.0,70.0,1.0,1.0,15.0,15.0,46.0,48.0,0.14,1.15,2.63,175.0
South 24 Parganas,3.88,3582.0,154.0,47.0,395.0,2.0,2.0,20.0,22.0,226.0,247.0,0.37,3.13,10.17,741.0
Uttar Dinajpur,2.28,2125.0,88.0,20.0,195.0,11.0,11.0,18.0,18.0,133.0,132.0,0.36,1.21,4.38,451.0
