district,amount,no_of_cases_pending,no_of_sponsored_application_in_fy_22_23,sep_g_disbursed_no,sep_g_sanctioned_no,sep_i_disbursed_no,sep_i_sanctioned_no,target_amount_of_sep_g_loan_to_be_disbursed_fy_22_24,target_amount_of_sep_i_loan_to_be_disbursed_fy_22_24,target_fy_22_23,target_fy_fy_22_23
Alipurduar,0.02,3.0,12.0,3.0,1.0,2.0,2.0,0.09,0.5,6.0,25.0
Bankura,0.44,33.0,137.0,4.0,4.0,37.0,38.0,0.23,0.98,9.0,65.0
Birbhum,3.0,35.0,460.0,24.0,24.0,251.0,252.0,0.39,3.53,20.0,210.0
Cooch Behar,0.54,11.0,94.0,5.0,5.0,45.0,43.0,0.25,2.01,13.0,135.0
Dakshin Dinajpur,0.42,10.0,176.0,2.0,2.0,35.0,35.0,0.18,1.35,8.0,82.0
Darjeeling,0.42,2.0,135.0,3.0,3.0,35.0,34.0,0.44,2.1,15.0,125.0
Hooghly,2.26,10.0,433.0,13.0,13.0,189.0,193.0,0.57,4.62,28.0,333.0
Howrah,0.62,5.0,168.0,2.0,2.0,52.0,52.0,0.24,1.32,11.0,110.0
Jalpaiguri,0.33,4.0,71.0,3.0,3.0,28.0,28.0,0.17,1.55,9.0,84.0
Jhargram,0.01,0.0,3.0,0.0,0.0,1.0,1.0,0.06,0.3,2.0,20.0
Kalimpong,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.06,0.32,2.0,20.0
Kolkata,0.54,8.0,65.0,0.0,0.0,45.0,25.0,0.1,2.0,5.0,100.0
Malda,0.11,6.0,29.0,3.0,3.0,9.0,10.0,0.11,0.94,6.0,60.0
Murshidabad,0.65,10.0,124.0,6.0,7.0,54.0,52.0,0.6,4.18,32.0,260.0
Nadia,1.97,7.0,298.0,12.0,13.0,165.0,172.0,0.45,3.89,26.0,266.0
North 24 Parganas,5.19,58.0,723.0,27.0,36.0,434.0,447.0,1.57,13.66,74.0,852.0
Paschim Bardhaman,0.17,33.0,175.0,1.0,1.0,14.0,14.0,0.18,1.42,10.0,152.0
Paschim Medinipur,1.35,14.0,245.0,11.0,11.0,113.0,113.0,0.33,2.66,16.0,195.0
Purba Bardhaman,1.08,12.0,147.0,7.0,7.0,90.0,103.0,0.32,2.43,14.0,153.0
Purba Medinipur,0.93,7.0,96.0,8.0,11.0,78.0,80.0,0.27,2.07,15.0,145.0
Purulia,0.38,3.0,48.0,2.0,2.0,32.0,32.0,0.14,1.15,8.0,70.0
South 24 Parganas,0.55,7.0,79.0,2.0,2.0,46.0,46.0,0.37,3.13,16.0,190.0
Uttar Dinajpur,0.44,6.0,65.0,12.0,12.0,37.0,42.0,0.36,1.21,15.0,106.0
