district,31_03_2021,31_03_2022,31_03_2023,Total Advance,Overall CD Ratio,cd_ratio_as_on_december,cd_ratio_as_on_december_2023_deposit
Alipurduar,48.18,47.64,63.23,5012.19,66.59,62.15,7527.12
Bankura,45.01,49.25,52.4,10648.5,54.59,51.82,19506.0
Birbhum,41.09,49.99,47.59,10441.58,50.54,48.31,20659.07
Cooch Behar,77.36,79.49,79.37,31993.25,79.84,75.6,40070.86
Dakshin Dinajpur,62.21,61.85,62.23,3749.5,61.85,62.67,6062.69
Darjeeling,64.4,57.59,65.19,16335.34,66.35,62.08,24620.22
Hooghly,27.08,36.26,41.9,24964.69,45.31,41.31,55097.25
Howrah,41.86,46.26,49.33,26318.86,48.38,47.79,54395.55
Jalpaiguri,59.09,63.33,68.7,11402.43,80.1,60.27,14235.52
Jhargram,40.03,40.92,42.19,2200.56,46.93,41.22,4689.21
Kalimpong,40.04,44.6,50.54,1055.31,50.74,46.97,2079.8
Kolkata,64.06,61.61,64.15,360220.63,96.29,64.15,374118.37
Malda,55.83,57.31,60.43,8565.35,57.81,59.45,14816.9
Murshidabad,42.62,44.02,52.27,16726.17,56.59,49.02,29558.69
Nadia,50.02,50.25,50.02,15160.0,50.28,49.8,30150.0
Paschim Bardhaman,41.59,42.58,46.31,24756.41,51.04,41.1,48503.98
Paschim Medinipur,43.37,46.95,49.32,16110.87,50.18,47.47,32106.29
Purba Bardhaman,45.58,51.28,51.89,17900.98,53.09,51.48,33715.69
Purba Medinipur,42.65,45.83,47.39,17271.47,49.07,47.37,35199.99
Purulia,54.58,48.61,48.84,6361.45,49.28,48.72,12907.9
Uttar Dinajpur,60.63,60.6,61.17,6246.29,65.23,60.99,9575.78
