district,31_03_2022,31_03_2023,district_wise_enrolment_under_pmjjby_31_03_2021,district_wise_enrolment_under_pmsby_31_03_2021
Alipurduar,254468.0,312684.0,61421.0,186544.0
Bankura,724578.0,904236.0,131944.0,559772.0
Birbhum,786765.0,1063257.0,226988.0,610720.0
Cooch Behar,553391.0,694385.0,131837.0,419827.0
Dakshin Dinajpur,367446.0,454991.0,72860.0,279277.0
Hooghly,970377.0,1227327.0,222746.0,715317.0
Howrah,752008.0,977661.0,188675.0,542740.0
Jalpaiguri,539529.0,709929.0,153034.0,409964.0
Kolkata,1244283.0,1418927.0,312868.0,1093490.0
Malda,871168.0,1056316.0,199689.0,674593.0
Murshidabad,1526296.0,1942267.0,274213.0,1256802.0
Nadia,1035967.0,1312729.0,176950.0,838170.0
North 24 Parganas,1730623.0,2178226.0,357300.0,1378831.0
Paschim Medinipur,1121609.0,1435593.0,223816.0,881759.0
Purba Bardhaman,1296008.0,1541792.0,320482.0,999031.0
Purba Medinipur,931000.0,1187485.0,172240.0,749340.0
Purulia,440114.0,545598.0,94030.0,337041.0
South 24 Parganas,1166588.0,1440619.0,255083.0,879352.0
Uttar Dinajpur,530374.0,650491.0,112067.0,394064.0
