district,amt,pending_above_1_year_no,pending_above_60_days_no,pending_below_60_days_no,pending_from_6_month_to_1_year_no,toatal_pending_no
Alipurduar,40.6,3.0,4.0,0.0,3.0,10.0
Bankura,14.73,43.0,2.0,0.0,9.0,54.0
Birbhum,30.69,71.0,22.0,2.0,47.0,142.0
Cooch Behar,14.47,22.0,27.0,7.0,30.0,86.0
Dakshin Dinajpur,9.76,37.0,3.0,6.0,10.0,56.0
Darjeeling,69.41,36.0,8.0,24.0,17.0,85.0
Hooghly,135.5,166.0,62.0,26.0,79.0,333.0
Howrah,100.08,176.0,45.0,38.0,90.0,349.0
Jalpaiguri,23.08,21.0,16.0,4.0,12.0,53.0
Jhargram,1.3,4.0,3.0,0.0,1.0,8.0
Kalimpong,0.46,0.0,1.0,1.0,0.0,2.0
Kolkata,468.6,562.0,50.0,98.0,175.0,885.0
Malda,46.44,65.0,13.0,10.0,8.0,96.0
Murshidabad,51.51,87.0,3.0,5.0,28.0,123.0
Nadia,45.85,78.0,10.0,32.0,58.0,178.0
North 24 Parganas,262.6,238.0,77.0,75.0,102.0,492.0
Paschim Bardhaman,132.21,86.0,9.0,17.0,37.0,149.0
Paschim Medinipur,70.77,86.0,16.0,0.0,30.0,132.0
Purba Bardhaman,90.02,208.0,55.0,23.0,59.0,345.0
Purba Medinipur,33.81,89.0,4.0,1.0,20.0,114.0
Purulia,14.51,28.0,0.0,0.0,6.0,34.0
South 24 Parganas,256.54,288.0,45.0,68.0,107.0,508.0
Uttar Dinajpur,14.13,45.0,7.0,1.0,7.0,60.0
