district,No. of Aadhaar Seeded,female_a_c,male_a_c,No. of Rupay Card Issued,rural_a_c,sr_no_1,total_a_c,total_deposit,total_enrolment_uner_social_security_schemes,total_no_of_apy_4,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c,urban_a_c,No. of Zero Balance A/C
Alipurduar,538121.0,350751.0,265007.0,511655.0,403250.0,3.0,615758.0,314.92,731005.0,68929.0,200380.0,461696.0,615758.0,212508.0,38247.0
Bankura,2047269.0,1317233.0,1064010.0,1357912.0,2038378.0,4.0,2381243.0,1391.5,2028648.0,214336.0,465830.0,1348482.0,2381243.0,342865.0,143078.0
Birbhum,2121973.0,1392252.0,1045723.0,1436829.0,1961977.0,5.0,2437975.0,1154.61,2510590.0,260368.0,695886.0,1554336.0,2437975.0,475998.0,88767.0
Cooch Behar,1512026.0,966989.0,766033.0,1328161.0,1252472.0,6.0,1733022.0,549.04,1714463.0,211204.0,426229.0,1077030.0,1733022.0,480550.0,106656.0
Darjeeling,582099.0,390955.0,275243.0,524751.0,313795.0,7.0,666198.0,417.04,1264004.0,115685.0,368547.0,779772.0,666198.0,352403.0,43816.0
Hooghly,2248328.0,1494011.0,1026296.0,1586914.0,1723044.0,10.0,2520307.0,1415.33,2876024.0,341632.0,696649.0,1837743.0,2520307.0,797263.0,109211.0
Howrah,1910786.0,1264577.0,894065.0,1435411.0,1417525.0,11.0,2158642.0,1122.39,2253891.0,252357.0,543995.0,1457539.0,2158642.0,741117.0,77662.0
Jalpaiguri,1431516.0,929704.0,690925.0,1172400.0,1081543.0,12.0,1620629.0,725.41,1719909.0,201562.0,460561.0,1057786.0,1620629.0,539086.0,109097.0
Jhargram,404908.0,273020.0,221135.0,265170.0,460168.0,13.0,494155.0,303.48,528754.0,44590.0,128921.0,355243.0,494155.0,33987.0,26615.0
Kalimpong,27010.0,17930.0,14535.0,28107.0,19871.0,14.0,32465.0,22.95,78554.0,6826.0,22869.0,48859.0,32465.0,12594.0,1592.0
Kolkata,829003.0,560368.0,445847.0,771436.0,8114.0,15.0,1006215.0,438.69,2710575.0,223597.0,564198.0,1922780.0,1006215.0,998101.0,107060.0
Malda,3126272.0,2024642.0,1529222.0,1938820.0,3078594.0,16.0,3553864.0,1298.42,2469793.0,316334.0,615893.0,1537566.0,3553864.0,475270.0,312746.0
Murshidabad,4253426.0,2746594.0,2155019.0,3353394.0,3644415.0,19.0,4901613.0,1741.55,4366956.0,529420.0,1056946.0,2780590.0,4901613.0,1257198.0,356806.0
Nadia,2774851.0,1877264.0,1414988.0,2131455.0,2218660.0,20.0,3292252.0,1456.57,2837391.0,319487.0,656779.0,1861125.0,3292252.0,1073592.0,231775.0
Paschim Bardhaman,1328645.0,1015236.0,539181.0,791095.0,881499.0,21.0,1554417.0,620.61,1777827.0,74419.0,444563.0,1258845.0,1554417.0,672918.0,76827.0
Purba Bardhaman,2028074.0,1382696.0,953210.0,1715420.0,1780405.0,22.0,2335906.0,1125.03,2157681.0,334313.0,614835.0,1208533.0,2335906.0,555501.0,81966.0
Purulia,1873049.0,1175146.0,988004.0,1271532.0,1800597.0,23.0,2163150.0,1309.87,1466375.0,155598.0,358384.0,952393.0,2163150.0,362553.0,159366.0
