district,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c
Alipurduar,769821.0,71535.0,216653.0,481633.0,633357.0
Bankura,2169151.0,227780.0,514660.0,1426711.0,2412764.0
Birbhum,2593728.0,272667.0,734667.0,1586394.0,2458821.0
Cooch Behar,1811846.0,221164.0,459889.0,1130793.0,1766462.0
Dakshin Dinajpur,1114434.0,115740.0,294174.0,704520.0,1281857.0
Darjeeling,1316870.0,119366.0,387520.0,809984.0,674860.0
Hooghly,3029026.0,361389.0,750878.0,1916759.0,2553428.0
Howrah,2367335.0,264565.0,581526.0,1521244.0,2182346.0
Jalpaiguri,1807398.0,210807.0,491801.0,1104790.0,1644235.0
Jhargram,555731.0,47608.0,139304.0,368819.0,499027.0
Kalimpong,83644.0,7254.0,24943.0,51447.0,32960.0
Kolkata,2838902.0,231733.0,599492.0,2007677.0,1018321.0
Malda,2603449.0,330689.0,669275.0,1603485.0,3607558.0
Murshidabad,4608778.0,557410.0,1154845.0,2896523.0,4974205.0
Nadia,3017202.0,340086.0,726627.0,1950489.0,3332643.0
North 24 Parganas,4865207.0,517805.0,1168287.0,3179115.0,4779725.0
Paschim Bardhaman,1884968.0,78844.0,486132.0,1319992.0,1573797.0
Paschim Medinipur,2620398.0,320618.0,618251.0,1681529.0,2802606.0
Purba Bardhaman,2312086.0,351636.0,660246.0,1300204.0,2361594.0
Purba Medinipur,2825628.0,420110.0,651026.0,1754492.0,2726291.0
Purulia,1547648.0,164867.0,387287.0,995494.0,2189576.0
South 24 Parganas,4229735.0,442484.0,968189.0,2819062.0,5429279.0
Uttar Dinajpur,1689458.0,190992.0,433014.0,1065452.0,2881953.0
