district,camps_by_rural_branches_no_of_total_rural_branches,no_of_camps_conducted,no_of_flcs,no_of_participants_attended,special_camps_by_flcs_target,target,target_specific_camps_by_flcs_target
Alipurduar,51.0,159.0,0.0,0.0,0.0,153.0,0.0
Bankura,168.0,618.0,1.0,4496.0,6.0,504.0,15.0
Birbhum,212.0,716.0,1.0,709.0,6.0,636.0,15.0
Cooch Behar,136.0,436.0,2.0,3313.0,12.0,408.0,30.0
Dakshin Dinajpur,73.0,134.0,2.0,14511.0,12.0,219.0,30.0
Darjeeling,78.0,328.0,2.0,57.0,12.0,234.0,30.0
Hooghly,237.0,850.0,1.0,450.0,6.0,711.0,15.0
Howrah,115.0,45.0,2.0,1865.0,12.0,345.0,30.0
Jalpaiguri,79.0,244.0,1.0,347.0,6.0,237.0,15.0
Jhargram,83.0,270.0,1.0,437.0,6.0,249.0,15.0
Kalimpong,13.0,44.0,1.0,422.0,6.0,39.0,15.0
Kolkata,0.0,0.0,1.0,82.0,6.0,0.0,15.0
Malda,189.0,210.0,2.0,70.0,12.0,567.0,30.0
Murshidabad,339.0,3876.0,2.0,3803.0,12.0,1017.0,30.0
Nadia,195.0,719.0,1.0,18888.0,6.0,585.0,15.0
North 24 Parganas,324.0,809.0,1.0,207.0,6.0,972.0,15.0
Paschim Bardhaman,102.0,248.0,1.0,3713.0,6.0,306.0,15.0
Paschim Medinipur,250.0,261.0,1.0,202.0,6.0,750.0,15.0
Purba Bardhaman,329.0,1089.0,1.0,1382.0,6.0,987.0,15.0
Purba Medinipur,252.0,634.0,2.0,16379.0,12.0,756.0,30.0
Purulia,129.0,275.0,1.0,284.0,6.0,387.0,15.0
South 24 Parganas,312.0,1021.0,1.0,424.0,6.0,936.0,15.0
Uttar Dinajpur,103.0,456.0,1.0,25151.0,6.0,309.0,15.0
