district,disbursement_amt,kishor_no_of_a_cs,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,tarun_plus_no_of_a_cs,total_no_of_a_cs
Alipurduar,332.01,19547.0,332.42,16170.0,578.0,8.0,36303.0
Bankura,387.61,13093.0,401.86,21751.0,1902.0,26.0,36772.0
Birbhum,617.14,29697.0,624.11,33670.0,1774.0,19.0,65160.0
Cooch Behar,581.23,32458.0,585.35,20527.0,1418.0,15.0,54418.0
Dakshin Dinajpur,266.54,13814.0,274.53,10904.0,825.0,14.0,25557.0
Howrah,1111.36,58505.0,1132.25,53061.0,2742.0,85.0,114393.0
Jalpaiguri,594.65,28797.0,604.84,28098.0,1869.0,23.0,58787.0
Jhargram,110.67,3486.0,112.72,5301.0,586.0,7.0,9380.0
Kalimpong,35.7,1801.0,35.86,1029.0,100.0,2.0,2932.0
Kolkata,1825.82,69916.0,1866.01,54890.0,8665.0,253.0,133724.0
Malda,763.71,44652.0,770.02,27891.0,1754.0,35.0,74332.0
Murshidabad,1690.12,101317.0,1730.35,75071.0,4374.0,79.0,180841.0
Nadia,1030.16,51165.0,1051.88,51944.0,3206.0,52.0,106367.0
North 24 Parganas,1975.89,92912.0,2065.11,83485.0,8090.0,126.0,184613.0
Paschim Medinipur,829.34,30850.0,862.82,33377.0,4297.0,50.0,68574.0
Purba Bardhaman,800.52,34876.0,805.99,33705.0,2961.0,38.0,71580.0
Purba Medinipur,1091.25,55652.0,1113.38,32686.0,4248.0,86.0,92672.0
South 24 Parganas,1329.93,67736.0,1370.95,71120.0,4258.0,80.0,143194.0
Uttar Dinajpur,540.3,30935.0,551.69,17248.0,1447.0,10.0,49640.0
