district,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
East Garo Hills,17,37.5,279,420.8,518,249.46,3866,4843.73
East Jaintia Hills,6,13.3,15,22.19,1203,1157.37,2433,6141.19
East Khasi Hills,1281,1473.29,2325,4722.54,10517,16420.17,54294,208528.01
North Garo Hills,22,47.23,334,516.3,521,596.47,6919,17991.1
Ri Bhoi,568,1085.01,1027,3605.13,4852,4706.74,18977,22504.43
South Garo Hills,4,8.07,26,33.87,322,423.34,2808,2335.41
South West Garo Hills,45,117.49,714,329.64,976,1296.43,5290,10228.95
South West Khasi Hills,2,3.45,14,24.77,371,318.72,4471,3525.53
West Garo Hills,107,265.08,529,1563.5,1213,1984.55,19540,18960.84
West Jaintia Hills,74,257.41,862,2367.78,2237,3581.62,11256,23068.76
West Khasi Hills,3,14.23,8,31.01,1071,1389.27,11514,13961.54
