district,ST O/S Amt,ST O/S No,ST Disb Amt,ST Disb No,SC O/S Amt,SC O/S No,SC Disb Amt,SC Disb No
East Garo Hills,5936.12,3688,445.63,267,84.29,19,26.41,4
East Jaintia Hills,25569.37,13819,4035.5,1368,530.93,151,168.33,33
East Khasi Hills,538930.45,143796,59820.4,23029,10867.97,5056,3165.34,1145
Eastern West Khasi Hills,47058.14,34056,9176.59,4997,4610.52,1210,1988.04,339
North Garo Hills,42315.04,14585,51580.71,2590,5943.9,1073,384.91,124
Ri Bhoi,44384.26,30144,5655.11,3331,4428.53,1207,524.95,118
South Garo Hills,4610.3,3400,440.83,188,55.65,18,10.23,4
South West Garo Hills,9008.25,6167,759.71,464,273.27,83,28.17,4
South West Khasi Hills,4940.55,3623,771.3,592,22.41,12,0.91,1
West Garo Hills,26109.07,15037,3299.85,1290,1173.17,429,76.6,32
West Jaintia Hills,65960.2,24964,9976.83,3311,3475.42,1118,780.88,209
West Khasi Hills,18054.2,12337,2993.37,1635,312.6,65,116.66,16
