District,Total Enrolment,APY Enrolment,PMSBY Renewals,PMSBY Eligible Cases,PMSBY Enrolment,PMJJBY Renewals,PMJJBY Eligible Cases,PMJJBY Enrolment
East Garo Hills,96201,2750,19636,92769,60704,7365,61478,32747
East Jaintia Hills,81599,2194,27913,110554,48434,15456,87531,30971
East Khasi Hills,401463,17138,101575,853987,241105,59233,634349,143220
Eastern West Khasi Hills,34031,848,14958,87147,20214,7638,68646,12969
North Garo Hills,115913,8164,21403,108514,68734,8302,66405,39015
Ri Bhoi,175847,4349,44023,242098,113476,18906,181776,58022
South Garo Hills,41504,1479,8901,69241,27000,2925,46933,13025
South West Garo Hills,169760,3078,35200,106860,110121,11786,63576,56561
South West Khasi Hills,34290,562,11669,63645,22104,4100,47413,11624
West Garo Hills,416409,11610,89830,382623,267404,31297,239257,137395
West Jaintia Hills,119338,2420,40258,232335,75488,21617,183422,41430
West Khasi Hills,57727,1195,22216,119231,36128,11690,93846,20404
