District,KCC AH Renewal No.,KCC Animal Husbandry Disbursed Amt,KCC Animal Husbandry New Issued No.,KCC NPA Amt (Crops Since Inception),KCC NPA No. (Crops),Total Active KCC Crops Amt,Total Active KCC Crops No. (Since Inception),KCC Renewed Amt (Crops),KCC Renewed No. (Crops),KCC New Crop Disbursed Amt,KCC New Crop Issued No.
East Garo Hills,1,0,1,552.17,1266,1991.14,3059,49.78,77,176.73,202
East Jaintia Hills,2,0.01,2,12.23,24,1204.07,1857,24.2,28,208.79,256
East Khasi Hills,32,53.38,90,2232.89,4032,16181.72,22529,467.13,524,1331,4002
Eastern West Khasi Hills,0,1.47,1,286.31,731,4597.23,7688,23.5,26,498.71,574
North Garo Hills,0,20.09,52,1198.22,2536,2913.3,4290,113.26,154,299.81,382
Ri Bhoi,25,81.79,138,7463.15,12287,21549.52,30381,1058.19,1234,1248.6,1416
South Garo Hills,0,0,0,277.49,845,930.72,1468,42.6,64,148.68,185
South West Garo Hills,0,0,0,983.43,2391,2349.74,3760,72.4,95,243.2,286
South West Khasi Hills,9,2.86,4,62.99,139,1798.62,2789,40.32,37,190.06,233
West Garo Hills,5,0.86,2,1865.08,4086,4907.18,7497,133.97,191,350.69,427
West Jaintia Hills,4,14.77,22,657.36,1248,3932.54,5000,233.06,249,388.78,2854
West Khasi Hills,12,4.57,5,1660.49,2678,4621.69,7376,84,89,404.95,2989
