District,Total MSME NPA Amt (PS),Total MSME NPA No. (PS),Total MSME O/S Amt (PS),Total MSME O/S No. (PS),Agri Amt % NPA,Total Agri NPA Amt (PS),Total Agri NPA No. (PS),Total Agri O/S Amt (PS),Total Agri O/S No. (PS)
East Garo Hills,697.49,1015,4424.18,2386,14.26,1007.23,3097,7062.74,7304
East Jaintia Hills,965.12,187,13769.21,2144,1.79,119.77,289,6707.31,3708
East Khasi Hills,9793.5,3782,285661.03,23800,2.83,4075.71,5097,143808.3,30309
Eastern West Khasi Hills,94.45,87,3419.54,1342,3.92,302.63,825,7723.39,9416
North Garo Hills,532.43,721,3906.09,2459,30.25,1754.97,4345,5801.68,8163
Ri Bhoi,1429.99,931,92632.87,4620,23.48,8098.88,14249,34491.93,41062
South Garo Hills,506.59,524,2077.07,1320,21.14,755.04,2364,3572.38,4323
South West Garo Hills,654.94,429,4049.18,1595,25.98,1553.71,4686,5980.47,8667
South West Khasi Hills,185.07,94,2081.39,921,5.33,194.44,337,3649.47,3915
West Garo Hills,2923.99,2225,29836.75,8150,16.73,2882,7709,17226.61,21522
West Jaintia Hills,2359.82,948,27281.22,5745,4.44,875.1,1689,19687.68,8111
West Khasi Hills,850.31,410,5117.83,2002,20.74,1794.23,3167,8651.58,9793
