district,Tot NPA MSME Amt. (PS),Tot NPA MSME No. (PS),Total O/S Amt. MSME (PS),(PS) Total O/S No. MSME,Agri Amt % NPA,Tot NPA Agri Amt. (PS),Tot NPA Agri No. (PS),Total O/S Agri Amt. (PS),Total O/S Agri No. (PS)
East Garo Hills,387.17,855,3599.92,1923,20.77,1246.52,3503,6000.36,5520
East Jaintia Hills,935.82,280,11095.94,2315,5.29,255.83,534,4833.36,2703
East Khasi Hills,11850.26,3614,237865.94,18164,2.95,4175.91,6361,141543.63,31332
Eastern West Khasi Hills,171.47,145,3030.09,1568,9.02,468.7,1227,5196.94,7864
North Garo Hills,415.02,594,2107.27,1541,43.66,1783.52,4494,4084.7,6232
Ri Bhoi,2327.27,839,60618.43,5041,30.86,8634.2,16184,27982.12,35937
South Garo Hills,379.71,432,1655.27,1016,28.97,898.66,2347,3101.57,3415
South West Garo Hills,403.6,360,2962.24,1261,36.27,1824.28,5282,5030.16,7881
South West Khasi Hills,137.17,88,1891.16,906,8.39,224.32,412,2673.66,3116
West Garo Hills,2603.89,2290,20230.17,7632,22.53,3080,8445,13670.57,15680
West Jaintia Hills,2202.69,878,21116.05,6090,6.17,1161.53,2014,18812.82,7077
West Khasi Hills,671.32,409,4549.47,2108,29.82,1908.13,3498,6399.57,7621
