district,Agriculture,None,MSME,None,Other Priority Sectors,None,Loan to Weaker Section,None,Total Priority Sector,None
East Garo Hills,6452,8521.51,1034,8521.51,144,8521.51,580,8521.51,7630,8521.51
East Jaintia Hills,1871,11087.21,1838,11087.21,140,11087.21,1234,11087.21,3849,11087.21
East Khasi Hills,38449,345120.13,34545,345120.13,16028,345120.13,52051,345120.13,89022,345120.13
North Garo Hills,8584,6203.34,483,6203.34,184,6203.34,230,6203.34,9251,6203.34
South Garo Hills,2713,3823.24,413,3823.24,90,3823.24,222,3823.24,3216,3823.24
South West Garo Hills,6391,6992.20,941,6992.20,222,6992.20,803,6992.20,7554,6992.20
South West Khasi Hills,2269,3519.00,643,3519.00,105,3519.00,1860,3519.00,3017,3519.00
West Garo Hills,14761,26822.67,5399,26822.67,918,26822.67,3400,26822.67,21078,26822.67
West Jaintia Hills,7118,39183.66,4791,39183.66,2943,39183.66,4184,39183.66,14852,39183.66
West Khasi Hills,16455,19566.13,3132,19566.13,607,19566.13,7806,19566.13,20194,19566.13
