district,NRLM NPA Amt. %,NRLM NPA Amt.,No. NRLM NPA,Amt. regular NRLM Ir- A/C,NRLM No. Irregular A/C,NRLM Amt. O/S,NRLM O/S No.,Self-Help Current Amount Year Group,Group Current No. Self-Help Year
East Garo Hills,16.74,142.18,267,29.09,46,849.22,879,202.06,179
East Jaintia Hills,0.5,7.1,5,7.1,5,1432.27,964,126.5,65
East Khasi Hills,2.68,95.25,106,15.69,12,3554.31,2708,336.8,216
Eastern West Khasi Hills,3.3,62.48,49,50.21,27,1891.22,984,224.51,88
North Garo Hills,12.03,86.35,177,22.54,39,717.88,807,130.27,107
Ri Bhoi,1.57,33.52,45,24,37,2134.95,1709,139.2,101
South Garo Hills,30.95,163.62,201,47.26,53,528.68,560,31.76,38
South West Garo Hills,5.29,38.73,52,22.59,31,732.69,614,60.17,40
South West Khasi Hills,1.73,15.45,13,11.17,8,894.9,661,50.8,44
West Garo Hills,10.64,260.35,340,93.44,118,2446.97,2053,327.03,198
West Jaintia Hills,2.71,59.49,35,8.28,10,2197.83,1501,141,59
West Khasi Hills,0.47,8.49,11,8.11,9,1824.38,949,304.44,112
