SL NO,Name of Dist,Name of LDM,Jun-25,Sep-25,Dec-25,Mar-26
1,Ribhoi,Samuel warbah,08.10.2025,DC has not given the date,,
2,East jaintia hills,Thangpilen Sitlhou,-,,,
3,West Jaintia Hills,Sevak Chandra Das,20.08.2025,28.11.2025,,
4,West Garo Hills,Ali Hassan,10.09.2025,26.11.2025,,
5,East Khasi Hills,Montu Goswami,03.09.2025,04.12.2025,,
6,South West Khasi Hills,Nirod Kumar Choudhury,26.09.2025,05.12.2025,,
7,West Khasi Hills,Nirod Kumar Choudhury,10.09.2025,27.11.2025,,
8,East Garo Hills,Shri Ranjit Khakhlary,23.09.2025,,,
9,North Garo Hills,Shri Ranjit Khakhlary,16.09.2025,26.11.2025,,
10,South Garo Hills,Chandra Charyya Mushahary,17.09.2025,02.12.2025,,
11,South West Garo Hills,Chandra Charyya Mushahary,03.09.2025,04.12.2025,,
