Sl No.,Bank Name,Sishu O/S No.,Sishu O/S Amt.,Sishu NPA No.,Sishu NPA Amt.,Kishore O/S No.,Kishore O/S Amt.,Kishore NPA No.,Kishore NPA Amt.,Tarun O/S No.,Tarun O/S Amt.
1,BOB,409,146,11,2.4,942,1901,52,97.08,493,2664
2,BOI,90,20.31,63,11.39,413,744.45,107,155.2,142,891.44
3,BOM,26,7.2,21,5.74,30,29,11,11.5,2,15.7
4,CAN,625,138.79,135,34.39,1161,1929.28,166,288.74,336,2188.57
5,CBI,190,921.34,89,71.6,340,579.27,104,72.9,110,609.38
6,IND,69,4.39,53,2.09,57,101.4,27,29.12,40,246.63
7,IOB,15,2.03,2,0.33,152,208.99,11,15.47,51,235.16
8,PNB,367,93.42,139,29.31,842,1409.58,242,319.78,337,1912.22
9,PSB,17,7.01,0,0,39,90.62,3,8.41,2,15.35
10,SBI,3501,984.28,1046,132.18,6219,10532.87,1670,2054.26,2201,12323.91
11,UCO,117,27.97,23,4.64,310,509.69,33,61.48,99,729.17
12,UNI,182,46.93,41,17.47,712,1178.84,91,123.72,258,1421.03
Pub,Total,5608,2399.67,1623,311.54,11217,19214.99,2517,3237.66,4071,23252.56
1,AXIS,7015,1539.43,91,14.21,1045,1178.42,14,18.57,164,932.98
2,BAND,2471,441.03,522,58.18,6339,4482.77,175,113.74,22,65.71
3,FED,4,0.8,0,0,9,14.69,0,0,4,15.1
4,HDFC,1070,107.1,226,25.36,791,1054.6,30,13.52,320,1619.41
5,ICICI,1,0.2,0,0,57,123.35,4,1.9,30,170.92
6,IDBI,3,0.9,0,0,49,96.15,7,16,73,379.7
7,IDFC,0,0,0,0,0,0,0,0,0,0
8,INDUS,0,0,0,0,107,272.18,0,0,17,46.9
9,KMB,0,0,0,0,0,0,0,0,0,0
10,SIB,0,0,0,0,1,4.92,0,0,1,7.13
11,YES,0,0,0,0,0,0,0,0,0,0
Priv,Total,10564,2089.46,839,97.75,8398,7227.08,230,163.73,631,3237.85
1,ESAF,0,0,0,0,0,0,0,0,0,0
2,JSF,0,0,0,0,0,0,0,0,0,0
3,SSFB,0,0,0,0,0,0,0,0,0,0
4,UJJIVAN,3693,847.65,36,4.9,4461,2583.97,32,11.34,0,0
Small FB,Total,3693,847.65,36,4.9,4461,2583.97,32,11.34,0,0
1,MLRB,2199,750.13,209,71.82,1676,2860.61,88,156.94,304,1841.83
RRB,Total,2199,750.13,209,71.82,1676,2860.61,88,156.94,304,1841.83
1,JUCB,0,0,0,0,0,0,0,0,0,0
2,MCAB,0,0,0,0,0,0,0,0,0,0
3,SCUB,0,0,0,0,0,0,0,0,0,0
4,TCUB,0,0,0,0,0,0,0,0,0,0
Grand,Total,22064,6086.91,2707,486.01,25752,31886.65,2867,3569.67,5006,28332.24
27,176.12,1,15.13,0,0,1845,4726.13,90,275.6,5.83,
23,162.66,0,0,0,0,645,1656.2,193,329.25,19.88,
0,0,0,0,0,0,58,51.9,32,17.24,33.22,
41,220.26,0,0,0,0,2122,4256.64,342,543.39,12.77,
9,28.68,0,0,0,0,640,2109.99,202,173.18,8.21,
6,18.04,1,19.69,0,0,167,372.11,86,49.25,13.24,
2,9.1,0,0,0,0,218,446.18,15,24.9,5.58,
59,266.01,1,8.04,0,0,1547,3423.26,440,615.1,17.97,
0,0,0,0,0,0,58,112.98,3,8.41,7.44,
339,1372.78,7,42.12,0,0,11928,23883.18,3055,3559.22,14.9,
26,209.92,0,0,0,0,526,1266.83,82,276.04,21.79,
24,127.75,0,0,0,0,1152,2646.8,156,268.94,10.16,
556,2591.32,10,84.98,0,0,20906,44952.2,4696,6140.52,170.99,
2,9.04,1,11.51,0,0,8225,3662.34,107,41.82,1.14,
