period,district,31_03_2021,31_03_2022,31_03_2023,31_03_2024,31_03_2025,aadhaar_card_seeded,aadhaar_seeded,ar_cu_psaycard_issued,balance,district_wise_enrolment_under_pmjdy_31_03_2021,district_wise_enrolment_under_pmjdy_31_03_2022,district_wise_enrolment_under_pmjdy_31_03_2023,district_wise_pmjdy_accounts_31_03_2020,female,female_a_c,male,male_a_c,rupay_card_account,rupay_card_issued,rupaycar_d_issued,rupaycard_account,rupaycard_issued,rural,rural_a_c,sum_of_aadhaar_seeded,sum_of_female_a_c,sum_of_male_a_c,sum_of_rupaycard_issued,sum_of_rural_a_c,sum_of_total_a_c,sum_of_total_deposit_rs_in_crore,sum_of_urban_a_c,sum_of_zero_balance_account,total,total_a_c,total_amount_amt_rs_in_crore,total_amount_rs_in_crore,total_amount_rs_in_lac,total_deposit,total_deposit_cr,total_deposit_in_rs_crore,total_deposit_rs_in_crore,total_depzoesriot,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c,urban,urban_a_c,zero_balance_a_c_s,zero_balance_account
December 2015,Alipurduar,,,,,,9744.0,,,,,,,,,,,,,,,52275.0,,34361.0,,,,,,,,,,,52860.0,,,,1234.26,,,,,,,,,,,18499.0,,,14181.0
December 2015,Bankura,,,,,,183471.0,,,,,,,,,,,,,,,558713.0,,791792.0,,,,,,,,,,,909666.0,,,,16516.38,,,,,,,,,,,117874.0,,,244749.0
December 2015,Birbhum,,,,,,269459.0,,,,,,,,,,,,,,,649998.0,,669285.0,,,,,,,,,,,896268.0,,,,14437.0,,,,,,,,,,,226983.0,,,232722.0
December 2015,Cooch Behar,,,,,,192701.0,,,,,,,,,,,,,,,462713.0,,403917.0,,,,,,,,,,,598219.0,,,,7874.21,,,,,,,,,,,194302.0,,,157962.0
December 2015,Darjeeling,,,,,,170398.0,,,,,,,,,,,,,,,420562.0,,269054.0,,,,,,,,,,,466338.0,,,,10797.02,,,,,,,,,,,197284.0,,,132047.0
December 2015,Hooghly,,,,,,537841.0,,,,,,,,,,,,,,,659639.0,,516513.0,,,,,,,,,,,889165.0,,,,26047.99,,,,,,,,,,,372652.0,,,142700.0
December 2015,Howrah,,,,,,356116.0,,,,,,,,,,,,,,,565585.0,,388260.0,,,,,,,,,,,661809.0,,,,19218.84,,,,,,,,,,,273549.0,,,103985.0
December 2015,Jalpaiguri,,,,,,303555.0,,,,,,,,,,,,,,,632806.0,,438994.0,,,,,,,,,,,846327.0,,,,16476.91,,,,,,,,,,,407333.0,,,241556.0
December 2015,Kolkata,,,,,,286584.0,,,,,,,,,,,,,,,561576.0,,11981.0,,,,,,,,,,,675681.0,,,,47344.89,,,,,,,,,,,663700.0,,,118108.0
December 2015,Malda,,,,,,303714.0,,,,,,,,,,,,,,,679163.0,,998237.0,,,,,,,,,,,1074018.0,,,,18279.3,,,,,,,,,,,75781.0,,,181714.0
December 2015,Murshidabad,,,,,,537664.0,,,,,,,,,,,,,,,929079.0,,911371.0,,,,,,,,,,,1391158.0,,,,26924.05,,,,,,,,,,,479787.0,,,323802.0
December 2015,Nadia,,,,,,322029.0,,,,,,,,,,,,,,,883765.0,,778953.0,,,,,,,,,,,1231654.0,,,,31366.7,,,,,,,,,,,452701.0,,,337832.0
December 2015,North 24 Parganas,,,,,,557484.0,,,,,,,,,,,,,,,1266504.0,,825274.0,,,,,,,,,,,1626443.0,,,,55484.86,,,,,,,,,,,801169.0,,,336233.0
December 2015,Paschim Medinipur,,,,,,285168.0,,,,,,,,,,,,,,,730157.0,,849629.0,,,,,,,,,,,1057290.0,,,,23566.51,,,,,,,,,,,207661.0,,,184492.0
December 2015,Purba Bardhaman,,,,,,360422.0,,,,,,,,,,,,,,,852501.0,,754518.0,,,,,,,,,,,1135764.0,,,,30477.37,,,,,,,,,,,381246.0,,,257573.0
December 2015,Purba Medinipur,,,,,,205514.0,,,,,,,,,,,,,,,692753.0,,796798.0,,,,,,,,,,,938017.0,,,,21857.79,,,,,,,,,,,141219.0,,,162894.0
December 2015,Purulia,,,,,,167872.0,,,,,,,,,,,,,,,459352.0,,570821.0,,,,,,,,,,,722434.0,,,,11758.3,,,,,,,,,,,151613.0,,,233829.0
December 2015,South 24 Parganas,,,,,,446315.0,,,,,,,,,,,,,,,1007271.0,,1252534.0,,,,,,,,,,,1559549.0,,,,37872.59,,,,,,,,,,,307015.0,,,419891.0
December 2015,Uttar Dinajpur,,,,,,205946.0,,,,,,,,,,,,,,,662951.0,,813296.0,,,,,,,,,,,1019655.0,,,,8636.19,,,,,,,,,,,206359.0,,,341363.0
December 2016,Alipurduar,,,,,,,,,,,,,,,,,,,,,,,,,36560.0,31964.0,26930.0,57950.0,32432.0,58894.0,23.49,26462.0,6961.0,,,,,,,,,,,,,,,,,,,
December 2016,Bankura,,,,,,,,,,,,,,,,,,,,,,,,,563331.0,629709.0,631842.0,1055736.0,1087108.0,1261551.0,345.87,174443.0,219207.0,,,,,,,,,,,,,,,,,,,
December 2016,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,662381.0,556301.0,702525.0,786270.0,947053.0,1258826.0,242.68,311773.0,247244.0,,,,,,,,,,,,,,,,,,,
December 2016,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,375121.0,339936.0,319587.0,559864.0,586624.0,659523.0,127.47,72899.0,162080.0,,,,,,,,,,,,,,,,,,,
December 2016,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,,,,643916.0,639253.0,537160.0,845704.0,626508.0,1176413.0,292.14,549905.0,221075.0,,,,,,,,,,,,,,,,,,,
December 2016,Kolkata,,,,,,,,,,,,,,,,,,,,,,,,,412563.0,352593.0,426879.0,728563.0,11298.0,779472.0,769.12,768174.0,177145.0,,,,,,,,,,,,,,,,,,,
December 2016,Malda,,,,,,,,,,,,,,,,,,,,,,,,,584526.0,810987.0,728570.0,1250057.0,1430410.0,1539557.0,410.56,109147.0,385105.0,,,,,,,,,,,,,,,,,,,
